,id,text,sentiment_text
0,104203118560,Why Presten of course,Why Presten of course
1,104202118559,they blocked their number  so i cannot  i tried though,they blocked their number so i cannot i tried though
2,104194118551,Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip,Get followers a day using ww.tweeteradder.com Once you add everyone you are on the train or pay vip
3,104197118554, ASSEMBLY MEMBER  yeey i knew lol., ASSEMBLY MEMBER yeey i knew lol.
4,104200118557,"Ha, what time was that at? Hm.. revision, it pains me to say  Silly History.. :/ WEEKEND NOW  lol. xo",Ha what time was that Hm. revision it pains me to say Silly History. WEEKEND NOW lol. xo
5,104196118553,"wow, you thinking about switching to meteorology.",wow you thinking about switching to meteorology.
6,104201118558,"Ohh good.. im not going quite yet.. i shall let you know  so stuck with me a little longer haha, xo",Ohh good. im not going quite yet. i shall let you know so stuck with me a little longer ha xo
7,104198118555,"yeah, I thought about my comment after I typed it and felt like an ass.",yeah I thought about my comment after I typed it and felt like an ass.
8,104195118552,that is a pretty good one today,that is a pretty good one today
9,104199118556,Internet has been down for a while. I am back on Monday so last day tomorrow,Internet has been down for a while. I am back on Monday so last day tomorrow
