,id,text
0,978002473850781697,The Decew Falls. .
1,988848527748075520,The beauty of the Earth and nature itself never disappoints. .
2,987877839746760704,Sometimes ya just got toss a couple mitts around @ Holiday & Leisure Rinks
3,988110989836025856,Wet memories .
4,977689642358267904,at the .
5,988841571633287168,When your hotel has amazing views and knows you [?] hot tubs and warm cookies at check-in. Thanks.
6,988827734725005313,Get your tickets for May th's motorsport evening at ruthschrisnf present by yours truly! Hotel.
7,988209338304131073,Our first Sunday Funday of the year. Some nice peaceful sounds of nature as part of a mile.
8,988743347048255489,Thank you ma for getting me to the airport to travel to summit! @ Buffalo.
9,987429716633309186,"I am at Hyatt Regency Buffalo / Hotel and Conference Center in Buffalo, NY"
