,id,text,sentiment_text
0,7165486011,"Oh no, maybe it was you..!!",Oh no maybe it was you.
1,7165586012,nope,nope
2,7165986016,still trying to download it.... kept timing out,still trying to download it. kept timing out
3,7166086017,"*we* were told we were getting a fall wedding, november seems good. plus, Pam wanted a fall wedding with Roy (TH from season 1)",we were told were getting a fall wedding november seems good. plus Pam wanted a fall wedding with Roy TH from season 1
4,7165886015,Well thank you! I will try and remember to put it somewhere,Well thank you I will try and rember to put it somewhere
5,7166386020," I am so taking you up on that offer--I can crunch the numbers, but cannot seem to make sense from them.  it is frustrating", I am so taking you up on that offerI can crunch the numbers but cannot seem to make sense from them. it is frustrating
6,7166186018,thnks fr th mmrs,thnks fr th mmrs
7,7165686013,I just has a DM from someone of whom I am very fond to say that she only found out I was online at all through search!,I just has a DM from someone of whom I am very fond to say that she only found out I was online at all through search
8,7166286019,"what have you written? && thanks love, they were based off the challenges page. I mean, it was like during season 3",what have you written thanks love they were based off the challenges page. I mean it was like during season 3
9,7165786014,We let out July 3. Can make a bit of difference but we get tourists who take over domestic sales. Tourists do not buy furniture tho',We let out July Can make a bit of difference but we get tourists who take over domestic sales. Tourists do not buy furniture tho
