,id,text,sentiment_text
0,259614273971,Scarlett...how can you have her and no Lady Jaye? Jaye was gangsta. If you going to do a remake do it right. wtf.,Scarlett.how can you have her and no Lady Jaye was gangsta. If you going to do a remake do it right. wtf.
1,259615273972,maybe you should stop being so lazy,maybe you should stop being so lazy
2,259620273977,i know!! and the fact i'm in their home land when they are in mine in November is not helping! I leave on Kevin's B-day!,i know and the fact im in their home land when they are in mine in November is not helping I leave on Kevin Bday
3,259623273980,I do not want to go to bed  I want to talk to you & the other KBitches! Rawr. Stupid sleep calling me...!,I do not want to go to bed I want to talk to you the other KBitches Rawr. Stupid sleep calling me.
4,259621273978,it started to lose uummmph yesterday and by time got home it sounded like a lawn mower,it started to lose uummph yesterday and by time got home it sounded like a lawn mower
5,259617273974,"I was picked up by a publisher, who turned out ot be a scammer. Put it on hold for now.",I was picked up by a publisher who turned out ot be a scammer. Put it on hold for now.
6,259618273975,Youreeee myyy bfff tooo,Youree myy bff too
7,259619273976,haha wonder why? is yours still in a pot?,ha wonder why is yours still in a pot
8,259616273973,LOL i dunno you tell ME!,LOL i dunno you tell ME
9,259622273979,was in such a hurry this morning  i forgot to start spag bol in slo-cooker,was in such a hurry this morning i forgot to start spag bol in slocooker
