,id,text,sentiment_text
0,293906308263,hahaha you know I actually delete it before I click the reply!   I did it for you! lol  there you go!,ha you know I actually delete it before I click the reply I did it for you lol there you go
1,293908308265,that sounds about right. Whenever you have to blow...the pipe is usually clogged.,that sounds about right. Whenever you have to blow.the pipe is usually clogged.
2,293909308266,You have chocolate and you are not sharingit? :o Meanie!,You have chocolate and you are not sharingit o Meanie
3,293912308269,thanks,thanks
4,293905308262, what about me?, what about me
5,293913308270,hugs to everyone,hugs to everyone
6,293907308264,lol over-protective big brother_nyc much?,lol overprotective big brothernyc much
7,293904308261, I already did that!, I already did that
8,293910308267,just fine  my fave coworkers have not gotten in yet so im a lil loney,just fine my fave coworkers have not gotten in yet so im a lil loney
9,293911308268,wut the hell is going on?! you not tawkin 2 me neither? wut you do not luv me no more???,wut the hell is going on you not tawkin me neither wut you do not luv me no more
