,id,text,sentiment_text
0,7697291329,i know. and the maine will be there too. woot woot,i know. and the maine will be there too. woot
1,7696491321,LU-KEY!  I want to be @ the lake...,LUKEY I want to be the lake.
2,7697091327,how did you do on it? i bombed mine plus i had no work to show,how did you do on it i bombed mine plus i had no work to show
3,7696591322,cute! show me how it looks after you get it done,cute show me how it looks after you get it done
4,7697391330,i was going to go look at your pics but it told me that your myspace profile was under maintenance,i was going to go look at your pics but it told me that your myspace profile was under maintenance
5,7696891325,"Haha it sure is, im a very lazy person though , i wash my hair wayyyy to often to try that though",Haha it sure is im a very lazy person though i wash my hair wayy to often to try that though
6,7696691323,lol im eatin a honey bun because i cannot eat hard stuff,lol im eatin a honey bun because i cannot eat hard stuff
7,7696791324,lol.and they came back 2days ago and swam in there pool yesterday,lol.and they came back 2days ago and swam in there pool yesterday
8,7696991326,what is poppin cassadinkle? i would talk to you on msn but that would involve moving the mouse,what is poppin cassadinkle i would talk to you on msn but that would involve moving the mouse
9,7697191328," ahahhaha oooo sorry, i did not know meek and luck got out  ahahha damn i wish i coulda stayed with you guys  is not cam awesome?", ahha oo sorry i did not know meek and luck got out ahha damn i wish i coulda stayed with you guys is not cam awesome
