,id,text,sentiment_text
0,275614289971,"Yes, but ran away now",Yes but ran away now
1,275619289976, Clean Me!, Clean Me
2,275620289977,I wish I could go.,I wish I could go.
3,275616289973,does your mailman love or hate you?,does your mailman love or hate you
4,275615289972, there are always exceptions to that though.  I love my creative mom tweeps, there always exceptions to that though. I love my creative mom tweeps
5,275617289974,"Hang in there, Chris! Do not despair",Hang in there Chris Do not despair
6,275623289980,yeap. Can we go back? Like now???  More in three weeks!!!,yeap. Can we go back Like now More in three weeks
7,275621289978, Sana nga we went there nalang. Fete sucked rin., Sana nga went there nalang. Fete sucked rin.
8,275622289979,just coming to hang?  Believe shows are sold out.,just coming to hang Believe shows are sold out.
9,275618289975,siiiickk. Thanks boo.,siickk. Thanks boo.
