,id,text,sentiment_text
0,2217936536,i see it does not stop you at all  btw i am glad your doing well And i am glad to hear your doing well  too,i see it does not stop you at all btw i am glad your doing well And i am glad to hear your doing well too
1,2217436531,i emailed your friend andrea about boston. i hope she emails me back  can you give her a heads up?,i emailed your friend andrea about boston. i hope she emails me back can you give her a heads up
2,2217836535," *shocked* oops, sprung. asked me to help him varnish. But I ahh, I do not like it", shocked oops sprung. asked me to help him varnish. But I ahh I do not like it
3,2218036537,Andrea was on Facebook 5 hours ago.,Andrea was on Facebook hours ago.
4,2218336540,I miss you sister.. When i can talk to you ? shit ! I want to talk to you right now on msn  i miss you sooooo much...,I miss you sister. When i can talk to you shit I want to talk to you right now on msn i miss you soo much.
5,2217636533,lmao!! your fun to confuse!!,lmao your fun to confuse
6,2217736534,Loveeeee you!,Lovee you
7,2218136538,lmao!!! I will do it all mare!!! I miss you!,lmao I will do it all mare I miss you
8,2217536532, *slaps* do not YOU EVER DO THAT TO MY TWIN!!!!! EVERR!!!! YOU PSYCHO!!! No i'm sorry!!!, slaps do not YOU EVER DO THAT TO MY TWIN EVERR YOU PSYCHO No im sorry
9,2218236539,xk tienes 2 twitters??????,xk tienes twitters
