,id,text,sentiment_text
0,193242207599,so would I,so would I
1,193237207594,I miss waking ashland.  good band.,I miss waking ashland. good band.
2,193238207595,im going to buy mine at the front door xD on june 12 at chain reaction cannot wait to see you guys,im going to buy mine at the front door xD on june at chain reaction cannot wait to see you guys
3,193241207598,please just say 'sure' and get me in please?  I will pay you when I get there and you really are an amazing person AND...>>>,please just say ure and get me in please I will pay you when I get there and you really are an amazing person AND.
4,193236207593,"i am, this saturday",i am this saturday
5,193235207592,FO SHIZZLEEEEEE.  I am in love with themmm.,FO SHIZZLEE. I am in love with themm.
6,193239207596,Into the wild,Into the wild
7,193243207600,they were so good on your uk tour! Will check it out  btw come back soon we miss you already!,they were so good on your uk tour Will check it out btw come back soon we miss you already
8,193240207597,Misss you,Miss you
9,193234207591,come back to houston soon! I got you a frisbee and everything but could not give it to you.,come back to houston soon I got you a frisbee and everything but could not give it to you.
