,id,text,sentiment_text
0,122899137256,"I am going to draw at random, but those who have been following/talking to me will have a MUCH better chance",I am going to draw at random but those who have been followingtalking to me will have a MUCH better chance
1,122901137258,Okay. That twitter/robbery story was not as scary as I initially thought it was going to be!,Okay. That twitterrobbery story was not as scary as I initially thought it was going to be
2,122903137260,*bites s* finger sobs... the price for sims3 on itunes scares me mah,bites finger sobs. the price for sims3 on itunes scares me mah
3,122898137255,uuuhmm i see..you must have a very creative mind to do all this movies,uuhmm i see.you must have a very creative mind to do all this movies
4,122900137257,I love Tweets from Suzanne Marques and Tony McEwing!!  We need more Tweets from Amy Murphy,I love Tweets from Suzanne Marques and Tony McEwing We need more Tweets from Amy Murphy
5,122902137259,Uh...awful.,Uh.awful.
6,122896137253,"car  hahaha. hey, a girl could dream lol",car ha. hey a girl could dream lol
7,122897137254,that is like the 5th time im reading it hahaha. even tho i know what happens i cannot stop reading it. haha its adorable  hahah,that is like the 5th time im reading it ha. even tho i know what happens i cannot stop reading it. ha its adorable hah
8,122895137252,i was crying out loud last night when dea called me. I am so sad kak,i was crying out loud last night when dea called me. I am so sad kak
9,122894137251,SAWEEEEEEEEEEEEET!!!!! Thanks darlin'. I am sure my email will receive them eventually.,SAWEET Thanks darlin. I am sure my email will receive them eventually.
