,id,text,sentiment_text
0,279431293788,Sure I will! will not miss it for anything!,Sure I will not miss it for anything
1,279428293785,heh  OMFG do you even know lauren cyrus ????,heh OMFG do you even know lauren cyrus 
2,279426293783,Hi lady! We need to hang soon! Hope all is well in your world!,Hi lady We need to hang soon Hope all is well in your world
3,279430293787,"Yes, it was  Nice picture indeed, retweeted it already... ;-)",Yes it was Nice picture indeed retweeted it already. 
4,279432293789,I will play  #Burn Notice #Jeffery Donovan,I will play Notice Donovan
5,279429293786,"http://twitpic.com/6emcm - hah! Awhh, this is adorable  x", hah Awhh this adorable x
6,279427293784,"Thanks fo ""the love."" I so very much appricate it. BTW, we owe the grass roots too - this would not have happened w/out them.",Thanks fo the love. I so very much appricate it. BTW we owe the grass roots too this would not have happened wout them.
7,279433293790,"sneezing a lot on account of having worked in my herb garden (pollen, pollen everywhere, lol)...otherwise, all is good.",sneezing a lot on account of having worked in my herb garden pollen everywhere lol.otherwise all is good.
8,279424293781,"Wow. Gratz on the epics! Unfortunately, I have no sleep to sell you.",Wow. Gratz on the epics Unfortunately I have no sleep to sell you.
9,279425293782,you wish,you wish
