,id,text,sentiment_text
0,221398235755,"That was supposed to say, Great publicity for you! Yay! Hit send too soon.",That was supposed to say Great publicity for you Yay Hit send too soon.
1,221402235759,Hope you feel better soon. it would be nice to hear from you sometime. I like to hear about your adventures.,Hope you feel better soon. it would be nice to hear from you sometime. I like to hear about your adventures.
2,221397235754,-- here in sunnyvale (MEDgle office)  Through Sat... cool.. should be able to head up to the city Weds/Thurs.. drinks/dinner?, here in sunnyvale MEDgle office Through Sat. cool. should be able to head up to the city WedsThurs. drinksdinner
3,221396235753,Manny all they way!!,Manny all they way
4,221400235757,"Erm...aye go on then. I need a clutch of singles to have a look at, all really good ones that I will like",Erm.aye go on then. I need a clutch of singles to have a look at all really good ones that I will like
5,221399235756,Are you going to santa monica tomorrow for kina?,Are you going to santa monica tomorrow for kina
6,221394235751,"I really wanted that ringtone, too.",I really wanted that ringtone too.
7,221401235758,Thanks ladies!,Thanks ladies
8,221403235760, and I will pray for you guys tonight that you make the right decision, and I will pray for you guys tonight that you make the right decision
9,221395235752,oooo I am excited!  cannot wait to feast my eyes on it,oo I am excited cannot wait to feast my eyes on it
