,id,text,sentiment_text
0,8078695143,"will have by the end of the day, just charging the camera",will have by the end of the day just charging the camera
1,8079395150,"Windows 7 is not even out yet officially so you are not ""behind the 8 ball"" really.",Windows is not even out yet officially so you are not behind the ball really.
2,8079295149,i do not think i will be able to get it off  i'm on the bar tonight and saturday,i do not think i will be able to get it off im on the bar tonight and saturday
3,8078495141,Night Night chickadee  x,Night chickadee x
4,8078795144," no we do not - great to hear people are talking about us, would be very interested to know how - guess too late", no we do not great to hear people are talking about us would be very interested to know how guess too late
5,8078995146,you can borrow my satnav tomorrow if you like.  I know my way to Bluewater and back,you can borrow my satnav tomorrow if you like. I know my way to Bluewater and back
6,8078595142,really train on a orange ?? Lol it is somthing i wouldent like 2 do  I have got loads of tatts but I still hate needles,really train on a orange Lol it is somthing i wouldent like do I have got loads of tatts but I still hate needles
7,8078895145,Buy another one,Buy another one
8,8079095147,"hehei? 1/2  well, 'tis my first OS tripi? 1/2  I dunno what the expected protocol actually is if it happens",hei well tis my first OS tripi I dunno what the expected protocol actually is if it happens
9,8079195148,"sorry. Capslock is cruise control for stupid, I know, I know...",sorry. Capslock is cruise control for stupid I know.
