,id,text,sentiment_text
0,1275813255,Marco Rubio was like Yes!! Finally lol #GOPDebates,Marco Rubio was like Yes Finally lol 
1,1276213259," Hey Mike Huckabee, Leave Prostitutes alone, you are one also... #GopDebates", Hey Mike Huckabee Leave Prostitutes alone you are one also. 
2,1276113258, Huckabee is the devil. #GOPDebates, Huckabee is the devil. 
3,1275713254, Huckabee. #GOPDebates http://t.co/Zy12bdUkx9, Huckabee. 
4,1276313260,#GOPDEBATES Are they going to allow Toby...I mean Ben to speak again?,Are they going to allow Toby.I mean Ben to speak again
5,1275913256," Everyone in my stream is watching this #GOPDebates show, which has to mean FOX is going to cancel it soon.", Everyone in my stream is watching this show which has to mean FOX is going to cancel it soon.
6,1275613253," While Ted Cruz is speaking, all over America parents are tryin' to convince their 5 year olds that vampires are not real. #G...", While Ted Cruz is speaking all over America parents are tryin to convince their year olds that vampires are not real. .
7,1275413251," Thanks Fox News, you are raising 's ratings.  #GOPDebate  #GOPDebates", Thanks Fox News you are raising ratings. 
8,1276013257,I did not know the #GOPDebates HAD PRELIMS!?,I did not know the HAD PRELIMS
9,1275513252,If Fox News had any sense they would ask the candidates what they thought about Dirty Sprite 2 #GOPDebates #FutureHive,If Fox News had any sense they would ask the candidates what they thought about Dirty Sprite 
