,id,text,sentiment_text
0,157753172110, I wish I could take the credit for that post but I just RETweeted it from , I wish I could take the credit for that post but I just RETweeted it from 
1,157748172105,"    With warm gratitude!  Thank you for your kind  friendship, fellow Twitterers!", With warm gratitude Thank you for your kind friendship fellow Twitters
2,157745172102,Narr some of the followers are not local but are interested in what goes on here,Narr some of the followers are not local but are interested in what goes on here
3,157744172101,"yep. in santa monica.  I always want to go, but I usually work on sundays.",yep. in santa monica. I always want to go but I usually work on sundays.
4,157749172106,its a classic but i kow what you mean,its a classic but i kow what you mean
5,157752172109,"i'm on the US store, I just need a payment option is all. Demos and free apps only go so far",im on the US store I just need a payment option is all. Demos and free apps only go so far
6,157751172108,I wish. I want to get into iPhone programing but have no Mac.   Do you think a Mac Mini can handle the task?,I wish. I want to get into iPhone programing but have no Mac. Do you think a Mac Mini can handle the task
7,157750172107,"I use this, it is quite good actually",I use this it is quite good actually
8,157746172103,Ohh ... yeah ...  Were you here for fallas? In case you miss Valencia check out some pics on our blog:  http://bit.ly/11rKLh,Ohh . yeah . Were you here for fallas In case you miss Valencia check out some pics on our blog 
9,157747172104,"You got women, you got women on your mind",You got women you got women on your mind
