,id,text,sentiment_text
0,182314196671,Cruzer is open tonight until 11pm. And purgatory too!,Cruzer is open tonight until pm. And purgatory too
1,182319196676,LOL you killing me!,LOL you killing me
2,182316196673,I hope you had fun at prom!!,I hope you had fun at prom
3,182323196680,do not worry. we are not going to throw it back in your faces because over here no one gives a shit.,do not worry. we are not going to throw it back in your faces because over here no one gives a shit.
4,182317196674,"And Mike ...  ... also to receive, for when we know how to receive we appreciate (the more) what it is to give. ...  ...",And Mike ... also to receive for when we know how to receive we appreciate the more what is to give. . .
5,182321196678,Maybe just a little,Maybe just a little
6,182318196675, me 2 but my Mom's old school n says he is gay, me but my Mom old school n says he is gay
7,182315196672, i knowww. faster fix it!, i knoww. faster fix it
8,182320196677,"LOL, that is funny! I would like 2know answer! Could prove helpful.",LOL that is funny I would like 2know answer Could prove helpful.
9,182322196679,Nice pic!,Nice pic
