,id,text,sentiment_text
0,166156180513,we are just so awesome we do not need a gender divide.,we are just so awesome we do not need a gender divide.
1,166163180520,"aaaw,  Who? I will bash em",aaw Who I will bash em
2,166154180511,LOVE nakata!!!!!!!  too bad he has to retire from soccer!,LOVE nakata too bad he has to retire from soccer
3,166159180516,still at the 100's for me.. looongg way to go!  need to tweet 200 times a week for a month to reach your level! ;),still at the for me. loongg way to go need to tweet times a week for a month to reach your level 
4,166158180515,the movie was da shit! wish you coulda watched it w/us! DM me ur # n let us chill when we are both in OC or Vegas,the movie was da shit wish you coulda watched it wus DM me ur n let us chill when we are both in OC or Vegas
5,166160180517,I am so glad we joined forces t figure out a way to text on my phone,I am so glad we joined forces t figure out a way to text on my phone
6,166157180514,No need to do anything,No need to do anything
7,166155180512,Ooo  do not say that you,Ooo do not say that you
8,166162180519,Cem for President ?,Cem for President 
9,166161180518,"Awesome! I appreciate it! And by the way, still no DM from you.",Awesome I appreciate it And by the way still no DM from you.
