,id,text,sentiment_text
0,158478172835,you should txt me.  or get on yahoo.,you should txt me. or get on yahoo.
1,158477172834,never ever going to sleep again,never going to sleep again
2,158483172840,now I really wish I had an iPhone,now I really wish I had an iPhone
3,158474172831,are you flying British Airways there?,are you flying British Airways there
4,158482172839,are not you sweet?    I will check back in with you later this evening or tomorrow. Gone to airport today.,are not you sweet I will check back in with you later this evening or tomorrow. Gone to airport today.
5,158481172838,thank you! Just muddling along really,thank you Just muddling along really
6,158480172837,"yeah, wish i could pull that one",yeah wish i could pull that one
7,158475172832,how was your set? wish i could have been there.,how was your set wish i could have been there.
8,158476172833,Totally agree. They usually just skip right over us,Totally agree. They usually just skip right over us
9,158479172836,"hey Kev - keep with it. It seems crap at first but will def be worthwhile! Add LOADS of people, much more interesting",hey Kev keep with it. It seems crap at first but will def be worthwhile Add LOADS of people much more interesting
