,id,text,sentiment_text
0,189744204101, its already the top of the seventh and punto is batting., its already the top of the seventh and punto is batting.
1,189746204103,"... and i sent 2 replies to myself. Dammit, cannot win. I blame the 2 hours of sleep i got",. and i sent replies to myself. Dammit cannot win. I blame the hours of sleep i got
2,189748204105,http://twitpic.com/6u753 - That was the first Prince shirt I bought that actually fit well. Looks great on you., That was the first Prince shirt I bought that actually fit well. Looks great on you.
3,189749204106,yeah it would!  so ill let you know as soon as we know,yeah it would so ill let you know as soon as we know
4,189753204110,im sorry the sky lied to you madam.,im sorry the sky lied to you madam.
5,189752204109,I guess I just forgot what a big deal it was going to be until only minutes ago!  But I am glad I remembered.,I guess I just forgot what a big deal it was going to be until only minutes ago But I am glad I rembered.
6,189751204108,Good job baby. I am proud of you for putting an effort in trying to be positive,Good job baby. I am proud of you for putting an effort in trying to be positive
7,189747204104,Owned,Owned
8,189750204107,its unfair that i was not there,its unfair that i was not there
9,189745204102,the linoleum was destroyed and the last copy of the print i had i attempted to give him at the first concert i went to.,the linoleum was destroyed and the last copy of the print i had i attempted to give him at the first concert i went to.
