,id,text,sentiment_text
0,177462191819, i kinda guessed., i kinda guessed.
1,177456191813,I feel like crap so probably no landmark tonight,I feel like crap so probably no landmark tonight
2,177460191817,"Jay def. brings an energy when he steps in, but that is to be expected. he is 19  Amazing he is only been playing 6 years or so.",Jay def. brings an energy when he steps in but that is to be expected. he is Amazing he is only been playing years or so.
3,177461191818,"he is great, getting big . he is almost 4 months. ty",he is great getting big . he is almost months. ty
4,177455191812, the one with ''saving the world one song at a time''? I got that one and the UCAP tour shirt, the one with aving the world one song at a time I got that one and the UCAP tour shirt
5,177459191816,"well im feeling down in the dumps too, cryin and all, so im going to get off twitter  bye bye for now friends.",well im feeling down in the dumps too cryin and all so im going to get off twitter bye for now friends.
6,177463191820,  Happy Anniversary guys.... Hope you have a good day... and that you have webcams, Happy Anniversary guys. Hope you have a good day. and that you have webcams
7,177458191815,"Hi, I hope Ray is o.k. Please give him our love and hope he returns soon. Hope its not too bad",Hi I hope Ray is o.k. Please give him our love and hope he returns soon. Hope its not too bad
8,177454191811,Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip,Get followers a day using ww.tweeterfollow.com Once you add everyone you are on the train or pay vip
9,177457191814,"Oh well, sometimes freedom is fleeting  So you are doing what I was doing Thursday night, cleaning (Aviva came home yest.)?",Oh well sometimes freedom is fleeting So you are doing what I was doing Thursday night cleaning Aviva came home yest.
