,id,text,sentiment_text
0,227257241614,Hey Chica- you ready for tonight?!,Hey Chica you ready for tonight
1,227259241616,NO WAY! they finally got married. Nice,NO WAY they finally got married. Nice
2,227263241620,you got the best life with me in it,you got the best life with me in it
3,227262241619," Assuming you mean AFV, I guess I am different than most, I just cannot laugh seeing people get hurt.", Assuming you mean AFV I guess I am different than most I just cannot laugh seeing people get hurt.
4,227258241615,Hey beautiful  Long time no hear!,Hey beautiful Long time no hear
5,227255241612,"glad to hear it, i'm sure that having sing helped",glad to hear it im sure that having sing helped
6,227260241617,"on my iphone ap, i keep getting errors, but loads fine.. Do i have the latest version? Now it has ads",on my iphone ap i keep getting errors but loads fine. Do i have the latest version Now it has ads
7,227256241613,goodnight. suei? 1/2 a con los angelitos,goodnight. suei a con los angelitos
8,227254241611,glad she is ok now,glad she is ok now
9,227261241618,"if i can remember the time dif on friday, i will stream ur pump class",if i can rember the time dif on friday i will stream ur pump class
