,id,text,sentiment_text
0,204726219083,"I understand that statement, is it from anywhere?",I understand that statement is it from anywhere
1,204728219085,"oh wait, you were talking about knowing! i thought you mean the limit thing. oh well, 4 more minutes",oh wait you were talking about knowing i thought you mean the limit thing. oh well more minutes
2,204730219087,"im gutted, I am in a rangers pub and there is no fa cup, all I have got is itv football tweets  but c'mon Chelsea anyway!",im gutted I am in a rangers pub and there is no fa cup all I have got is itv football tweets but cmon Chelsea anyway
3,204732219089,hey those cookies were meant to be shared! hand some over!,hey those cookies were meant to be shared hand some over
4,204729219086,SORRY NA. ) at least i`m almost at a thousand,SORRY NA. at least im almost a thousand
5,204725219082,The creeping charlie is what happens when I neglect the yard for the whole spring!  Thanks- & would LOVE to see yr dogs!,The creeping charlie is what happens when I neglect the yard for the whole spring Thanks would LOVE to see yr dogs
6,204731219088,hold on wat does that say?? lol i mostly speak only english and im not that good at spanish.. lol,hold on wat does that say lol i mostly speak only english and im not that good at spanish. lol
7,204733219090,you to have a lovely day,you to have a lovely day
8,204727219084,hey you there !  what is up ?,hey you there what is up 
9,204724219081,Hokey next wk it is then - the treacle tarts will regain their leadership!,Hokey next wk it is then the treacle tarts will regain their leadership
