,id,text,sentiment_text
0,1590530262,",  i hatee the feeling summonees keeping sumthin from me ..", i hatee the feeling summonees keeping sumthin from me .
1,1590630263,",  i want to say sorry to my mom but i cannot say it coz im shy and scared", i want to say sorry to my mom but i cannot say it coz im shy and scared
2,1591030267,",""bored here in home..",bored here in home.
3,1591230269,",aby good wit her mouth,says the right things good head on her shoulders does the right things  -Jeezy",aby good wit her mouthsays the right things good head on her shoulders does the right things Jeezy
4,1590830265,", before I forget, I have to say that I pretty much hated The Da Vinci Code.", before I forget I have to say that I pretty much hated The Da Vinci Code.
5,1590730264,", I do not need the gym :O I got a pool for that", I do not need the gym O I got a pool for that
6,1590930266,", but I LOVE brokeback mountain.", but I LOVE brokeback mountain.
7,1591130268,",there is a new tree app too~  do not want.",there is a new tree app too do not want.
8,1590430261,*zonk* two hour friday afternoon meeting completed. going straight home and not doing any removalist work today. plenty tomorrow though,zonk two hour friday afternoon meeting completed. going straight home and not doing any removalist work today. plenty tomorrow though
9,1591330270,".  Top tip; When a colleague offers you her hairdressers number, your response should NOT be ""Well, is she any good?""  Oh deary",. Top tip When a colleague offers you her hairdressers number your response should NOT be Well is she any good Oh deary
