,id,text,sentiment_text
0,8060494961,sounds like a plan to mee!,sounds like a plan to mee
1,8061094967,try ticketluck.com for cheap tickets! & remember to use CAROL as the discount code,try ticketluck.com for cheap tickets rember to use CAROL as the discount code
2,8061294969,Grandma would be thrilled to hear that,Grandma would be thrilled to hear that
3,8060794964,that is good ! and thanks Weez  will look forward to it x Not sure where Harry is with new ? Improvise or New !  Work yuk  !,that is good and thanks Weez will look forward to it x Not sure where Harry is with new Improvise or New Work yuk 
4,8061394970, sorry about your schedule!, sorry about your schedule
5,8060594962,"Well thanks! Glad to be back, 2 crazy weeks at work, but done for this weekend!  Now if a boy just does not distract me! ;)",Well thanks Glad to be back crazy weeks at work but done for this weekend Now if a boy just does not distract me 
6,8060694963,you got to bed earlier than me! i did not go to bed until 1,you got to bed earlier than me i did not go to bed until 1
7,8061194968,"Unfortunately, I am home. No vacations to the Caribbean anytime soon for me.  Trying to buy a house, and a kid on the way.",Unfortunately I am home. No vacations to the Caribbean anytime soon for me. Trying to buy a house and a kid on the way.
8,8060994966,we saw that last night too! Such a great movie,we saw that last night too Such a great movie
9,8060894965,I feel sad for El-P too.,I feel sad for ElP too.
