,id,text,sentiment_text
0,203157217514,"why did you go to SM? ) jk, tae.",why did you go to SM jk tae.
1,203160217517,I will calls you when I finish work. No Battles  I hate Twiiter. BOO come back to fagbook doome!!! I have NEWS,I will calls you when I finish work. No Battles I hate Twiiter. BOO come back to fagbook doome I have NEWS
2,203154217511,Where you going then? i hear Dubai is quite nice this time of year,Where you going then i hear Dubai is quite nice this time of year
3,203158217515,"I am sorry bby.  he is right though, Molko is. you will get through this and be stronger for it. Wisdom of experience, yeah?",I am sorry bby. he is right though Molko is. you will get through this and be stronger for it. Wisdom of experience yeah
4,203163217520,yes!!! Had a blast,yes Had a blast
5,203162217519,I need to cancel my appt for 1 have to be home from1-5 for washing machine repair man can I do on the am? So sorry,I need to cancel my appt for have to be home from for washing machine repair man can I do on the am So sorry
6,203155217512,RIGHT!,RIGHT
7,203159217516,nalla collection.. But mediafire is not accessible...,nalla collection. But mediafire is not accessible.
8,203161217518,Good morning! See you later,Good morning See you later
9,203156217513,"what`s up with my multiply, i can`t access multiply kse in mobile web.",whats up with my multiply i cant access multiply kse in mobile web.
