,id,text,sentiment_text
0,201836216193, I am sorry to hear that.., I am sorry to hear that.
1,201835216192,"we kept an eye on them, there were a few casualties, like when Ian's hand fell off. but nah not nicked",we kept an eye on them there were a few casualties like when Ian hand fell off. but nah not nicked
2,201839216196,": Nope. I go to FEUI Extention, Dear. I took Diplom program at FEUI too", Nope. I go to FEUI Extention Dear. I took Diplom program at FEUI too
3,201842216199,a G35. I still miss my RX7..wish I did not sell it,a G I still miss my RX7.wish I did not sell it
4,201834216191,just a reflection  LIKE A LONGASS REFLECTION (((((((((((,just a reflection LIKE A LONGASS REFLECTION 
5,201840216197,hey hey juga,hey juga
6,201841216198,"so extremly nothing i can do here. lol. but the internet, culd making me happy.",so extremly nothing i can do here. lol. but the internet culd making me happy.
7,201837216194,VirtualBox - ???? ???,VirtualBox 
8,201838216195,so.. hello newbie.. ;)) i a newbie myself,so. hello newbie. i a newbie myself
9,201843216200,it is 5 o clock someplace,it is o clock someplace
