,id,text,sentiment_text
0,231151245508,is so nice i'm almost considering a netbook just to be able to use it  congrats ! video demo  http://bit.ly/zXtir,is so nice im almost considering a netbook just to be able to use it congrats video demo 
1,231152245509,wewlcome to womanhood. we are made stronger to deal with doing shit on our own.,wewlcome to womanhood. we are made stronger to deal with doing shit on our own.
2,231148245505,sorry you not happy,sorry you not happy
3,231153245510,I wish my bed talked to me,I wish my bed talked to me
4,231144245501,that is not true,that is not true
5,231147245504,Eh! You posted it on your blog! Oh i thought you upgraded to 3g so you sold off your 2g,Eh You posted it on your blog Oh i thought you upgraded to 3g so you sold off your 2g
6,231145245502,me threeee  sunday dinner at jiaminzzz's shop zi char & celebrate our 4th bday! tell you all more online!,me three sunday dinner at jiaminzz shop zi char celebrate our 4th bday tell you all more online
7,231149245506,"Thanks for the blog mention, it will be a great help",Thanks for the blog mention it will be a great help
8,231146245503,"omg I know where you are coming from, completely",omg I know where you are coming from completely
9,231150245507,Does it means we are close to get our hands on it? My eeePC 901 needs it!,Does it means we are close to get our hands on it My eePC needs it
