,id,text,sentiment_text
0,1295227309,*thoughts inside my head* Gosh I am trying so hard not to be an asshole,thoughts inside my head Gosh I am trying so hard not to be an asshole
1,1295327310,*tigger  and runs over to and waves hi hi hi hi hi and holds up his teddy and points at it to make sure he can see it too*,tigger and runs over to and waves hi and holds up his teddy and points at it to make sure he can see it too
2,1295027307,*the weather is nice.. hello sun,the weather is nice. hello sun
3,1294827305,"*texts   okay...will do, Timmy. Hurry back, I will hold the order till you get here! <3",texts okay.will do Timmy. Hurry back I will hold the order till you get here 3
4,1294527302,"*texts  still stuck with fbi. almost all files restored, but i still have to rebuild the firewall!!!",texts still stuck with fbi. almost all files restored but i still have to rebuild the firewall
5,1295127308,*these are just thoughts for the night* I will be hitting the bed soon.,these are just thoughts for the night I will be hitting the bed soon.
6,1294627303,*texts   ... I will have a pizza waiting when you get home! Might be cold though if you take too long! going to order it now.,texts . I will have a pizza waiting when you get home Might be cold though if you take too long going to order it now.
7,1294727304,"*texts  What are you up to? I am bored down here, doing mindless work for other teams",texts What are you up to I am bored down here doing mindless work for other teams
8,1294427301,*texts  definitely. i just hate that i'm making you wait.,texts definitely. i just hate that im making you wait.
9,1294927306,"*The Kooks appearance cancelled due to illness* Peace and Love Festival fuck fuck fuck =| REALLY wanted to c em, this sucks SO hard  damn!",The Kooks appearance cancelled due to illness Peace and Love Festival fuck REALLY wanted to c em this sucks SO hard damn
