,id,text,sentiment_text
0,240245254602,SWORE!: i'm freaking tired. i'm nervous about tomorrow because i'm turning down the guy that asked me to prom  fuck a duck.i? 1/2,SWORE im freaking tired. im nervous about tomorrow because im turning down the guy that asked me to prom fuck a duck.i 
1,240247254604,I want one for the TS-1000 now. Still have mine in a box somewhere.,I want one for the TS now. Still have mine in a box somewhere.
2,240253254610,WOOHOO!!!  My broom is not up to standards....there is no seatbelt on mine....*whispers*  I like the Swiffer...,WOOHOO My broom is not up to standards.there is no seatbelt on mine.whispers I like the Swiffer.
3,240244254601, Yeah.  that is why super was in quotes., Yeah. that is why super was in quotes.
4,240248254605,send the private jet to get me!  (i wish) ahah,send the private jet to get me i wish ah
5,240246254603,I prefer twinnings earl grey  nothing like it,I prefer twinnings earl grey nothing like it
6,240251254608,? ????. ??????. ?????, . 
7,240250254607,: lmfao. Shoutouts to the Mickey D's I left you smuts for  ZUMB GOOD tho like, lmfao. Shouts to the Mickey D I left you smuts for ZUMB GOOD tho like
8,240252254609,Twitter search is kinda pickey that way,Twitter search is kinda pickey that way
9,240249254606,that was too short  can we meet kp? Please?! :d,that was too short can we meet kp Please d
