,id,text,sentiment_text
0,229070243427,"I am a fan of the new hair...I am thinking you look all sorts of sexified! Keep on doing what you do, because it is working",I am a fan of the new hair.I am thinking you look all sorts of sexified Keep on doing what you do because it is working
1,229071243428,is it true that your  going to be in edmonton,is it true that your going to be in edmonton
2,229073243430,"My puppy died two weeks ago, I was going to see Marley & Me with my mum but I do not think we will now. Damn life",My puppy died two weeks ago I was going to see Marley Me with my mum but I do not think we will now. Damn life
3,229066243423,"Hahah, sorry.[x it is my mini vacation before I start summer school.",Hah sorry.x it is my mini vacation before I start summer school.
4,229069243426,"if you have a party, use a hash tag for it so people can track it  like #jmadparty",if you have a party use a hash tag for it so people can track it like 
5,229064243421,"....nothing, sadly.",.nothing sadly.
6,229072243429,lovin the new hair,lovin the new hair
7,229068243425,i wish that would change something for me,i wish that would change something for me
8,229065243422,why do think we always asked you to smile in a dark room? lol,why do think we always asked you to smile in a dark room lol
9,229067243424,i want to be .... a tree!,i want to be . a tree
