,id,text,sentiment_text
0,6692681283,reeeeaaallllyyyyyy good,reeaallyy good
1,6693281289,"well hello there! No tweet a(tm)! from you 2day  lol, jp. Heeeey boooo! how is the tummy?",well hello there No tweet atm from you 2day lol jp. Heey boo how is the tummy
2,6693381290,i know i suck  do not have to remind me!!! now i feel sad,i know i suck do not have to remind me now i feel sad
3,6693081287,awwww on page 2  the new post bought the old ones down... OFCOURSE you made the list silly..bol,aww on page the new post bought the old ones down. OFCOURSE you made the list silly.bol
4,6693181288,"I kno! I am going to clean a likkle, take the baby out, and perhaps cook. nothing special since no1 will take me 2 the movies!",I kno I am going to clean a likkle take the baby out and perhaps cook. nothing special since no1 will take me the movies
5,6692781284,Studying will not save him now  Muahahahahahahaha! Caffiene is the trick!,Studying will not save him now Muaha Caffiene is the trick
6,6692981286,do not you want to cuddle?,do not you want to cuddle
7,6692581282,elected  and she won her council seat also!  what ward do you want DCC results for?,elected and she won her council seat also what ward do you want DCC results for
8,6692881285,"sweet deal!!  I am looking for something similar with 4gb ram. yours sounds cool, I like acer's",sweet deal I am looking for something similar with 4gb ram. yours sounds cool I like acer
9,6692481281, A brown car though? would not be one of my favourite colours, A brown car though would not be one of my favourite colours
