,id,text,sentiment_text
0,294420308777,you were there!? OMG I so would have look 4 you if I had known that.,you were there OMG I so would have look you if I had known that.
1,294416308773,hey marlena! im going to buy my first mac brush and cannot decide between the 217 and 188..which one do you think is best?,hey marlena im going to buy my first mac brush and cannot decide between the and which one do you think is best
2,294417308774,I am so excited!I have been trying out your looks and they are awesome!I will do the Milky Way nxt week 4 my girls night out,I am so excitedI have been trying out your looks and they are awesomeI will do the Milky Way nxt week my girls night out
3,294415308772,Have you ever heard of Torrid? They have really cute plus size clothes & accessories!  They have one in my mall. :o),Have you ever heard of Torrid They have really cute plus size clothes accessories They have one in my mall. o
4,294423308780,i bet your getting tweets now saying I will go lol Have a good time,i bet your getting tweets now saying I will go lol Have a good time
5,294414308771,Cool! I am buying a gold Chrysler convertible soon! lol Oh and first candy video is up girly!,Cool I am buying a gold Chrysler convertible soon lol Oh and first candy video is up girly
6,294418308775,I have never had hamsters  we had a rabbit when I was little who ate through wires and left poop trails..lol How are you today?,I have never had hamsters we had a rabbit when I was little who ate through wires and left poop trails.lol How are you today
7,294419308776,Oh! I cannot wait to see your video on hooded eyes...I always have to extend my makeup almost to my brow to make it visible.,Oh I cannot wait to see your video on hooded eyes.I always have to extend my makeup almost to my brow to make it visible.
8,294422308779,hehe no probs chick  xx,he no probs chick xx
9,294421308778,"I say fuck ramos. haha noo, that is fine with me",I say fuck ramos. ha noo that is fine with me
