,id,text,sentiment_text
0,201866216223,ugh i wish i was with you guys,ugh i wish i was with you guys
1,201868216225,that is no good  why not?,that is no good why not
2,201867216224,coz it gives you satisfaction when a job is well done and it was all coz of you...,coz it gives you satisfaction when a job is well done and it was all coz of you.
3,201871216228,NO you cannot LEAVE US,NO you cannot LEAVE US
4,201864216221,"HitR is fantastic, is not it?",HitR is fantastic is not it
5,201870216227,your grandmon has a good day to have birthday on,your grandmon has a good day to have birthday on
6,201872216229, gosh that can be quite frustrating to watch, gosh that can be quite frustrating to watch
7,201865216222,thanks,thanks
8,201873216230,nice - let me know how it works out for you in a couple of weeks,nice let me know how it works out for you in a couple of weeks
9,201869216226,do not tell me I do not when I do! lol I seen em...wish I was there!,do not tell me I do not when I do lol I seen em.wish I was there
