,id,text,sentiment_text
0,123382137739,"on hols in rye.. when is your dvd coming out?? looking forward to seein my boyf and myself, oh as well as you",on hols in rye. when is your dvd coming out looking forward to seein my boyf and myself oh as well as you
1,123376137733,Thank goodness for that. Me? Normal? Never..... No sleep  Now photo editing....Joy,Thank goodness for that. Me Normal Never. No sleep Now photo editing.Joy
2,123377137734,anytime,anytime
3,123380137737,and lots of it! But I still have those 2 months where I cannot purchase alcohol.,and lots of it But I still have those months where I cannot purchase alcohol.
4,123383137740,Poopy baby is better than grumpy baby. Let sleeping babies lie!,Poopy baby is better than grumpy baby. Let sleeping babies lie
5,123381137738,I am really really REALLY bummed I missed it.  This is something I looked forward to for a month.,I am really REALLY bummed I missed it. This something I looked forward to for a month.
6,123374137731,"aw,shoot  well, give me a follow or something and perhaps next time if I am still here",awshoot well give me a follow or something and perhaps next time if I am still here
7,123379137736,it has to be okies else my manager is going to kick me..,it has to be okies else my manager is going to kick me.
8,123378137735,Anytime!,Anytime
9,123375137732,aw I get mentioned,aw I get mentioned
