,id,text,sentiment_text
0,167616181973,Morning my little friend and how are we today? Have you stopped eating such yummy stuff now,Morning my little friend and how are we today Have you stopped eating such yummy stuff now
1,167618181975, i figured it out - i had the twitter app with status updates off and have it working with tweetdeck... pretty cool...memory good, i figured it out i had the twitter app with status updates off and have it working with tweetdeck. pretty cool.memory good
2,167615181972,"Today is abs AND legs day, so you know my pain.",Today is abs AND legs day so you know my pain.
3,167619181976,"evening, the moment when the sun shines in my room like this only lasts for a minute or so",evening the moment when the sun shines in my room like this only lasts for a minute or so
4,167620181977,welllll Dan where is the link si? 1/2  i can listen to it????? I want to hear this next hit,well Dan where is the link si can listen to it I want to hear this next hit
5,167617181974,Thanks hun blush blush,Thanks hun blush
6,167622181979,you do not want to play anymore,you do not want to play anymore
7,167621181978,i did not even realize you were there. if only i were a more diligent twitterer   i guess i will just have to come you visit in china,i did not even realize you were there. if only i were a more diligent twitter i guess i will just have to come you visit in china
8,167614181971,I am saved!!! I have to carry home a bloody Beanie Baby.  Shucks. I wanted See's.,I am saved I have to carry home a bloody Beanie Baby. Shucks. I wanted See.
9,167623181980,"That list is inaccurate, as I am not on it",That list is inaccurate as I am not on it
