,id,text,sentiment_text
0,143488157845,Poor LeBron  I think he is going to be an even stronger force next year,Poor LeBron I think he is going to be an even stronger force next year
1,143489157846,"Hell yea! I am on it! Every time I see the commercials, I get super excited!!",Hell yea I am on it Every time I see the commercials I get super excited
2,143485157842,"I am doing aiight myself, thanks!  Yes, it seems so. But I am resisting getting sucked into it, LOL You going to Seattle show?",I am doing aiight myself thanks Yes it seems so. But I am resisting getting sucked into it LOL You going to Seattle show
3,143484157841,i was listening to leather and lace earlier and thought of you,i was listening to leather and lace earlier and thought of you
4,143486157843,"Oh, I used to swim a lot. Then I had an accident & almost drowned in the Mediterrean Sea when I was 17. Afraid of ocean now",Oh I used to swim a lot. Then I had an accident almost drowned in the Mediterrean Sea when I was Afraid of ocean now
5,143487157844,"come over, then we can watch it!",come over then we can watch it
6,143490157847,the people we wanted to be like when we were kiddilies,the people wanted to be like when were kiddilies
7,143492157849,"Bahaa I would rofl if their kids turned out fugly, but I doubt it",Bahaa I would rofl if their kids turned out fugly but I doubt it
8,143493157850,"went to footy last night and we (richmond) lost so that sucked, but apart from that really good  why do you hav 9 days off?",went to footy last night and we richmond lost so that sucked but apart from that really good why do you hav days off
9,143491157848,"heelllooo sissy! aw i miss you! i'm ok, just the sickness is coming to me  what about you?",heelloo sissy aw i miss you im ok just the sickness is coming to me what about you
