,id,text,sentiment_text
0,164125178482,http://twitpic.com/6c8mv - so cute, so cute
1,164132178489,"wish i did not have to be so square!  come back to usa. east coast , preferably ;)",wish i did not have to be so square come back to usa. east coast preferably 
2,164127178484, Have a nice day! unfortunately I cannot go because I do not have a ridee, Have a nice day unfortunately I cannot go because I do not have a ridee
3,164133178490,working on sunday?,working on sunday
4,164129178486, ITALIAN FRENCHIE!, ITALIAN FRENCHIE
5,164126178483,"Also, I have not gotten any of your tweets on my phone. I am confused.",Also I have not gotten any of your tweets on my phone. I am confused.
6,164124178481,Today was such a long day ... Feel like just resting at home for tonight,Today was such a long day . Feel like just resting at home for tonight
7,164131178488,gooooood luck,good luck
8,164130178487,good luck,good luck
9,164128178485, i wish i was there, i wish i was there
