,id,text,sentiment_text
0,245436259793,You will all be driving before I do!  Walking? Peaceful. Memorable. Rememberable.,You will all be driving before I do Walking Peaceful. Memorable. Remberable.
1,245440259797,"I think EVERYONE appreciates FB artwork.  PS I hear tell Red Robin has a great chicken sandwich. Also, eggs on burgers.",I think EVERYONE appreciates FB artwork. PS I hear tell Red Robin has a great chicken sandwich. Also eggs on burgers.
2,245441259798,have fun,have fun
3,245442259799,yes I know the feeling,yes I know the feeling
4,245435259792,"I am right there with you sugar. I am unemployed and while bills are ok at the moment, I know they will not be much longer",I am right there with you sugar. I am unemployed and while bills are ok at the moment I know they will not be much longer
5,245434259791,"Just like Macs are for people that cannot operate a computer, iPhones are for people incapable of operating a smartphone",Just like Macs are for people that cannot operate a computer iPhones are for people incapable of operating a smartphone
6,245438259795,when I get out of Pharm school I will have abt $150k of debt in just tuition and fees.. not even incl. books or room and board.,when I get out of Pharm school I will have abt k of debt in just tuition and fees. not even incl. books or room and board.
7,245443259800,"do not feel to bad.  I got one but it is not like I am going to be able to use it, let alone see them this year.",do not feel to bad. I got one but is not like I am going to be able to use it let alone see them this year.
8,245437259794,belly ache...lulz....I am sorry though  ....ginger ale!,belly ache.lulz.I am sorry though .ginger ale
9,245439259796,I am going too tonight,I am going too tonight
