,id,text,sentiment_text
0,186579200936,i think only b/c you keep getting shat on.,i think only bc you keep getting shat on.
1,186577200934,"haha, thx! Totally needed to fax Finland",ha thx Totally need to fax Finland
2,186580200937, me too!, me too
3,186578200935,i missed you too  x,i missed you too x
4,186575200932,aslong as its not me the birthboy you tell babe xxxx,aslong as its not me the birthboy you tell babe xx
5,186582200939, its a girl. They have 4 girls now  The 2 oldest are teens and the 3rd is 7 yrs old., its a girl. They have girls now The oldest are teens and the 3rd is yrs old.
6,186583200940, I am so sorry, I am sorry
7,186574200931,there is no way you are hearing this song before our wedding! or maybe our engagement. depends.   of course i remember!,there is no way you are hearing this song before our wedding or maybe our engagement. depends. of course i rember
8,186576200933,More ale. The journey of a thousand miles must begin with the first step! xx Bad head too,More ale. The journey of a thousand miles must begin with the first step xx Bad head too
9,186581200938,"Omg, I do not want 2!!! I want 2 run back n apologize 4 ever even thinking about leaving!!!",Omg I do not want I want run back n apologize ever even thinking about leaving
