,id,text,sentiment_text
0,3376048117,- you are in town! The twoffice has eagerly been awaiting your arrival, you are in town The twoffice has eagerly been awaiting your arrival
1,3376348120,Oops! My bad! Sorry about that  Apologies to as well.,Oops My bad Sorry about that Apologies to as well.
2,3375848115,Sorry! Self recommendations are not supported.  Get recommended here: http://cli.gs/VYTGGW,Sorry Self recommendations are not supported. Get recommended here 
3,3375648113, kudos to Mikel & Daren on paying it forward, kudos to Mikel Daren on paying it forward
4,3375448111,I have some IDs for your Trance.Nu Feature guestmix.,I have some IDs for your Trance.Nu Feature guestmix.
5,3375748114," thanks for the guru links, but they just take me to the sign in page", thanks for the guru links but they just take me to the sign in page
6,3375548112,that sounds yum! I am in the other hand getting ready to taste a fine fish dish.,that sounds yum I am in the other hand getting ready to taste a fine fish dish.
7,3376148118,how do I make him stop?!!?!  Mark says if he does not stop doing it they do not get to stay,how do I make him stop Mark says if he does not stop doing it they do not get to stay
8,3375948116,Are you serious ? Well that sucks because it is one of the more secure im systems,Are you serious Well that sucks because it is one of the more secure im systems
9,3376248119,never a relaxing weekend for the allahpundit,never a relaxing weekend for the allahpundit
