,id,text,sentiment_text
0,215038229395,I would have ate with you,I would have ate with you
1,215042229399,"was going to get tickets to ur show in Dallas until i saw it is on 7/19, I will be in Cancun that weekend!",was going to get tickets to ur show in Dallas until i saw it is on I will be in Cancun that weekend
2,215041229398,That is not right on SO many levels.,That is not right on SO many levels.
3,215036229393,i do not get cell phone updates nymore for some reason s i never know when you are on jtv!  meh.,i do not get cell phone updates nymore for some reason s i never know when you are on jtv meh.
4,215039229396,just letting you know.. your recent tweet makes me feel bad because i was JUST about to go home and make ramen.,just letting you know. your recent tweet makes me feel bad because i was JUST about to go home and make ramen.
5,215040229397,love your music man!!,love your music man
6,215034229391,but you are only #21 on iTunes Australia,but you are only on iTunes Australia
7,215043229400,i just started at 11:10 but i just got done,i just started at but i just got done
8,215037229394,I wish I could answer that  lol,I wish I could answer that lol
9,215035229392,ditto! It just makes us more special Jay,ditto It just makes us more special Jay
