,id,text,sentiment_text
0,2207336430," well ok then, you do that a lot lately....", well ok then you do that a lot lately.
1,2206436421,do not i know it,do not i know it
2,2207236429,"HUGS  Yes, lady, survivors are a determined group  Last night went well...I did not cry!!!",HUGS Yes lady survivors are a determined group Last night went well.I did not cry
3,2207136428,Heheheh good stuff! Walla my day was extremely boring but thank GOD I am home now.. Relaxing shway,Heh good stuff Walla my day was extremely boring but thank GOD I am home now. Relaxing shway
4,2206836425,"Aye, Virgin partnered with T-Mobile. I paid i? 1/2 10 for their 24 hour access seeing as my train journey was 4.5hrs",Aye Virgin partnered with TMobile. I paid i for their hour access seeing as my train journey was hrs
5,2206536422,good luck in the exams... junior cert starts tomorrow ..,good luck in the exams. junior cert starts tomorrow .
6,2206736424,"I work at Schneider Electric, but not much longer. They are sending our jobs to Mexico",I work at Schneider Electric but not much longer. They are sending our jobs to Mexico
7,2206936426,"hahahhaa i'm dying, man. i missed these somehow. sorry about your dream. i hate that.",hahhaa im dying man. i missed these somehow. sorry about your dream. i hate that.
8,2206636423,"Ha, ha! Thanks! Looking forward to getting to know you...",Ha ha Thanks Looking forward to getting to know you.
9,2207036427,9a7!! has been out of touch,9a7 has been out of touch
