,id,text,sentiment_text
0,208125222482,mine seems to think I have got two more followers than I actually do,mine seems to think I have got two more followers than I actually do
1,208133222490,bugger. My code does not run under 1.9  looks like I have to drop some of it 1.8 bad habits,bugger. My code does not run under looks like I have to drop some of it bad habits
2,208131222488, we knew you were LOST, we knew you were LOST
3,208127222484,"awesome, party for all the ppl who are stuck in school!  #asot400",awesome party for all the ppl who are stuck in school 
4,208126222483,"learning video post in Adobe Premiere, and you?",learning video post in Adobe Premiere and you
5,208128222485,Me too! Restarting now,Me too Restarting now
6,208129222486,"Well actually - Larin is my name. The ""model"" is what I do  (besides sleeping, crawling, etc..)",Well actually Larin is my name. The model is what I do besides sleeping crawling etc.
7,208124222481,Probably the same animator that created a pacing / peeing spectator dog for Rallisport2 of who the rally cars passed in 200kph,Probably the same animator that created a pacing peeing spectator dog for Rallisport2 of who the rally cars passed in kph
8,208132222489,flatmate that disappears.. but it is all fine now... just a a small fright,flatmate that disappears. but is all fine now. just a small fright
9,208130222487,awww i bet... i MISSYOU buzz,aww i bet. i MISSYOU buzz
