,id,text,sentiment_text
0,569946008840491008321417,is there also a way I can get a printed one for my records? I keep them whenever I fly ;),is there also a way I can get a printed one for my records I keep them whenever I fly 
1,569947331241639936321413,well duh. My grandfather just got hired as a TSA agent and currently at PWM!,well duh. My grandfather just got hired as a TSA agent and currently at PWM
2,569945451564277760321418,window exits give it away.,window exits give it away.
3,569947332135018496321412,""" Our fleet's on fleek. http://t.co/y5qE9HcQzT"" why.", Our fleet on fleek. why.
4,569947356428419073321411,.Delete this tweet.,.Delete this tweet.
5,569945380198203392321419,when I check in tomorrow morning for my flight on wens can I automatically add it to passbook?,when I check in tomorrow morning for my flight on wens can I automatically add it to passbook
6,569944919894327297321420,.. { it is all a320's right?},. it is all a right
7,569946477356818432321415,also. My party { me and my sister and mom} are on three separate reservations. Will TSA let us us go through together or alone.,also. My party me and my sister and mom are on three separate reservations. Will TSA let us go through together or alone.
8,569947151339429889321414,"Lmfaooo "" Our fleet's on fleek. http://t.co/1G9RnmYUQe""",Lmfaoo Our fleet on fleek. 
9,569946372901707776321416,I feel only a few free travel vouchers will assuage my indignation.,I feel only a few free travel vouchers will assuage my indignation.
