,id,text,sentiment_text
0,181947196304,hoep so off to watch now,hoep so off to watch now
1,181952196309,Thank you very much!,Thank you very much
2,181951196308,nope,nope
3,181949196306,morning  you okies?,morning you okies
4,181948196305,LOL I must admit I have not tried them but they are not exactly at the top of my 'ZOMG YOU LIKE ABSOLUTELY HAVE TO TRY THIS' list.,LOL I must admit I have not tried them but they are not exactly at the top of my ZOMG YOU LIKE ABSOLUTELY HAVE TO TRY THIS list.
5,181946196303,"Would love to mate, but...family etc  One day though, one day!",Would love to mate but.family etc One day though one day
6,181953196310,that would be cool. they are not ours though,that would be cool. they are not ours though
7,181945196302,ty nice phots. Arthur seat and the craigs is my fav,ty nice phots. Arthur seat and the craigs is my fav
8,181944196301,"Raining tomorrow, Monday lovely",Raing tomorrow Monday lovely
9,181950196307,never tried it  you will have to let me know what it is like,never tried it you will have to let me know what is like
