,id,text,sentiment_text
0,6261276969,i want them !,i want them 
1,6260576962,I am actually learning a lot.  I was so lost that just abandoned my blog for a while.   But provides a wealth,I am actually learning a lot. I was so lost that just abandoned my blog for a while. But provides a wealth
2,6260876965,Blow some fine chilly powder on her face!  What an idea! I knw I knw my brain is gr8 ;p hehehe,Blow some fine chilly powder on her face What an idea I knw my brain is gr8 p he
3,6261376970,lol the q should be to ,lol the q should be to 
4,6260976966,cuz of the shitty weather,cuz of the shitty weather
5,6261076967,"good deal, I am going to dream about it tonight and order 1",good deal I am going to dream about it tonight and order 1
6,6261176968,"I am fine, thanks for asking",I am fine thanks for asking
7,6260776964, miss you .., miss you .
8,6260676963,"Oh my, I know that sitter was worried sick about it too.   Yas said ""look lady, nothing personal, but I want mommy and daddy""!",Oh my I know that sitter was worried sick about it too. Yas said look lady nothing personal but I want mommy and daddy
9,6260476961,you are having a hard time lately are not you  *hugs*,you are having a hard time lately are not you hugs
