,id,text,sentiment_text
0,4949863855,"I just read the news on that Wii game you are planning, all I have to say is  #asot",I just read the news on that Wii game you are planning all I have to say is 
1,4949763854,No problem homiee! lol i sware you and anita are sooo funny! i cannot wait for the next stream MINUS the haters,No problem homiee lol i sware you and anita are soo funny i cannot wait for the next stream MINUS the haters
2,4950063857," it is cheap too  but you have to remember, half of the peeps on E-O are retarded, lazy, or just a jerk, and the other half is", it is cheap too but you have to rember half of the peeps on EO are retarded lazy or just a jerk and the other half is
3,4949563852,Thanks for Retweet Tilen,Thanks for Retweet Tilen
4,4949463851,"what is the roi of social? 12k in 24 hours, 17k in a month, or helping a family in need  #cmsummit",what is the roi of social k in hours k in a month or helping a family in need 
5,4949663853,storm 3? Wow...damn touch screen!!! My personal deal is #ineedat physical keyboard rt now Sprint only bb world phone no cam,storm Wow.damn touch screen My personal deal is physical keyboard rt now Sprint only bb world phone no cam
6,4949963856,So you are a chicken...in scrum terminology of course,So you are a chicken.in scrum terminology of course
7,4950263859,Thanks  Which faction do you think you would want to join?,Thanks Which faction do you think you would want to join
8,4950163858,Night,Night
9,4950363860,"Aussie Women are alright too  Nicole Kiddman, etc...",Aussie Women are alright too Nicole Kiddman etc.
