,id,text,sentiment_text
0,152828167185,"hahaha, SATS are compulsory,, my dears.  So, it is basically T_T, PE tmrw! Mwahahahahohononono... : ' (",ha SATS are compulsory my dears. So it is basically TT PE tmrw Mwahohono. 
1,152826167183,,
2,152832167189,"lawyer? but yeh, you go visit the doctor again. let us know what is the result ok. im not feeling that well  im feeling feverish",lawyer but yeh you go visit the doctor again. let us know what is the result ok. im not feeling that well im feeling feverish
3,152829167186,"LOL, you actually finished it?? I did not .....  I just read and went through stufff.... Hahahahahaha.",LOL you actually finished it I did not . I just read and went through stuff. Haha.
4,152827167184,projects suck,projects suck
5,152831167188,but they have to learn sometime. Will it make you feel better if I bring my 3 year old?,but they have to learn sometime. Will it make you feel better if I bring my year old
6,152824167181,"well, umm...  I cannot really get anywhere before the train comes in 1/2 hour",well umm. I cannot really get anywhere before the train comes in hour
7,152825167182,Does the van come your way? Never comes down our road,Does the van come your way Never comes down our road
8,152833167190,"Yes, in Korea! With amazon gift card, USB download, and dual IDz, can use it without any trouble.",Yes in Korea With amazon gift card USB download and dual IDz can use it without any trouble.
9,152830167187,wong huoy jet! Ahahaha I think I can stayy up late tonight  ! The exams are overrrr~ hahaha!,wong huoy jet Aha I think I can stayy up late tonight The exams are overr ha
