,id,text,sentiment_text
0,3529649653,plz vote for Shadow  thx,plz vote for Shadow thx
1,3529849655,Ok ya ! Nice meeting you here  Keep in touch,Ok ya Nice meeting you here Keep in touch
2,3530249659,twitters been eating all my @ replies  ily2...wow that was awkward to type.,twitters been eating all my replies ily2.wow that was awkward to type.
3,3529449651,"haha.. i will not this time. i always think it is going to b different but it never is. btw.. i love that song, use somebody.",ha. i will not this time. i always think it is going to b different but it never is. btw. i love that song use somebody.
4,3529549652,you too!,you too
5,3530049657,are you accepting applications,are you accepting applications
6,3530349660,twitter is confusin @ first but i ? twitterness! Talk 2 ya l8rz,twitter is confusin first but i twitterness Talk ya l8rz
7,3530149658,hahah oh girl ill explain stars to you tomorroww,hah oh girl ill explain stars to you tomorroww
8,3529749654,"haha, okay, thank you girls  I am on the mood finally!",ha okay thank you girls I am on the mood finally
9,3529949656,I have decided to take on a sci fi novel as my next big project!,I have decided to take on a sci fi novel as my next big project
