,id,text,sentiment_text
0,231631245988,I have seen your JONAS preview's they rock! im sure ill look on the series ;) how is frankie doing?,I have seen your JONAS preview they rock im sure ill look on the series how is frankie doing
1,231629245986,it is my birthday today guys!! the big 2-0   oh & i was wondering when there is going to be another JONAS? im havin withdrawals!,it is my birthday today guys the big oh i was wondering when there is going to be another JONAS im havin withdrawals
2,231630245987,it is YOUR FAULT i'm ANNOYING sorry honey  <3 you HAHAHAHAH,it is YOUR FAULT im ANNOYING sorry honey you HAH
3,231632245989,Joe i really like your glasses! cannot wait to get the new album at midnight tonight,Joe i really like your glasses cannot wait to get the new album at midnight tonight
4,231627245984,"it is just so unfair for us, for argentines fans and personally for me, it is so hurting.  </3",it is just so unfair for us for argentines fans and personally for me it is so hurting. 3
5,231624245981,"It Was The Best Evar & My First,, You did not Awnser Any Of My Questions  xoxo",It Was The Best Evar My First You did not Awnser Any Of My Questions xo
6,231633245990,"Joe, Do you like Tacos.?",Joe Do you like Tacos.
7,231625245982,it would be so amazing if i could go to one of ur concerts in the US  listening to the new songs and waiting for the album!,it would be so amazing if i could go to one of ur concerts in the US listening to the new songs and waiting for the album
8,231628245985,its my birthdaaay today! reply & you will make my life  ?,its my birthdaay today reply you will make my life 
9,231626245983,its 1am here and i have school the next day,its 1am here and i have school the next day
