,id,text,sentiment_text
0,290482304839,I am coming over.,I am coming over.
1,290474304831,important person?  who?,important person who
2,290476304833,MAMA!!!!! im following you now  gah i miss you guys too. I hope PAX still happens so i can see you guys =D,MA im following you now gah i miss you guys too. I hope PAX still happens so i can see you guys D
3,290479304836,"insane!!HAHA! could not agree with you more! hysterical!love that movie!!anw, go have your rest young lady!",insaneHA could not agree with you more hystericallove that movieanw go have your rest young lady
4,290477304834,I know how painful it is ... been there done that one  Glad it is improving,I know how painful it is . been there done that one Glad it is improving
5,290475304832,Actually I have been working on it off the clock,Actually I have been working on it off the clock
6,290478304835,haha it is 100 right now.  what about you?,ha it is right now. what about you
7,290481304838,I am going to miss you besty,I am going to miss you besty
8,290480304837," OaO+-OSSU++you... USU,you,,O-you^you+you+OSS USU^you...Uf OaU+OSSU...USU+ O1U+O-US you^you+OUfUS you...O1 O""O1OP OaU^USOaO+-", OaOOSSUyou. USUyouOyouOSS USUyou.Uf OaUOSSU.USU O1UOUS youOUfUS you.O1 OO1OP OaUUSOaO
9,290483304840,we never made the brownies,we never made the brownies
