,id,text,sentiment_text
0,153734168091,"Aye, did not realize my LAR2 was not on (even though I did click on it). did not have enough time to warp out",Aye did not realize my LAR2 was not on even though I did click on it. did not have enough time to warp out
1,153740168097,"I am still thinking what kind of contest.  Maybe, you could suggest",I am still thinking what kind of contest. Maybe you could suggest
2,153738168095,I have to admit at being a Colin Firth groupie at this point.,I have to admit at being a Colin Firth groupie at this point.
3,153741168098,FRIED FISH,FRIED FISH
4,153736168093,Really? We MUST talk Monday.,Really We MUST talk Monday.
5,153739168096,if that is about what I think it is about then... why? Omg.  This is not cool.,if that is about what I think it is about then. why Omg. This not cool.
6,153742168099,DDDD. hopefully they did not see it,DD. hopefully they did not see it
7,153735168092,eeeee i want too  but i have no money and im still sat in me pjz like a lezza,ee i want too but i have no money and im still sat in me pjz like a lezza
8,153737168094,"Weird, I just started following you and then I see you quoted on Boing Boing   http://tinyurl.com/luy8d9",Weird I just started following you and then I see you quoted on Boing 
9,153743168100,"I am going to a show on the 26th, so I would not be able to go.  But you guys should come to that one!",I am going to a show on the th so I would not be able to go. But you guys should come to that one
