,id,text,sentiment_text
0,222912237269,HAHAHAHA!... loool... it was so loud i almost had a heart attack... wow and its ment 2 be summer,HA. lool. it was so loud i almost had a heart attack. wow and its ment be summer
1,222911237268,"it is prob also less of a hassle to interview all @ once. & haha, hopefully I have the car tomorrow. I have to open @ Target",it is prob also less of a hassle to interview all once. ha hopefully I have the car tomorrow. I have to open Target
2,222904237261,i found change the world  link...? http://www.mediafire.com/?l4ndngyltfd,i found change the world link. l4ndngyltfd
3,222909237266,soryy i have no clue whatt it is or whoo rach murrayy is loll?,soryy i have no clue whatt is or whoo rach murrayy is loll
4,222908237265,nopee were not there is threee,nopee were not there is three
5,222913237270,How did you get blocked? I am following you,How did you get blocked I am following you
6,222907237264,no you are not,no you are not
7,222906237263,I never cry for that one... I think this is like the second song ive ever cried to,I never cry for that one. I think this like the second song ive ever cried to
8,222910237267,yeah i heard!  how cute is - i so want to be a musician too!,yeah i heard how cute is i so want to be a musician too
9,222905237262,i know! can you definitely not come?,i know can you definitely not come
