,id,text,sentiment_text
0,1625430611,/me nips over 2 the 7-Eleven for beer before the entire building's worker community jams the elevators from 5:31PM #beijingbeer by #asahi,me nips over the 7Eleven for beer before the entire building worker community jams the elevators from PM by 
1,1626230619,:  I need some hot and horny ladies to follow me, I need some hot and horny ladies to follow me
2,1625730614,/sigh I seriously hate not having school.. I am so bored.. Gears can only entertain me for so long..,sigh I seriously hate not having school. I am so bored. Gears can only entertain me for so long.
3,1625630613,/me wants his own Mightstick,me wants his own Mightstick
4,1626030617,/twitter rape,twitter rape
5,1625930616,/stores/near/:postal_code is coming soon,storesnearpostalcode is coming soon
6,1625830615,/sigh... somebody cheer me up. i cannot get out of bed,sigh. somebody cheer me up. i cannot get out of bed
7,1626130618,/yawn 18h til unshaped. its been 4 days of 64kbps hell,yawn h til unshaped. its been days of kbps hell
8,1625530612,/me sadly says goodbye to his 30-yr old La-z-boy Exec chair.  I tried to make it last as long as I could.,me sadly says goodbye to his yr old Lazboy Exec chair. I tried to make it last as long as I could.
9,1626330620,":  ughh, cannot sleep. too hot", ughh cannot sleep. too hot
