,id,text,sentiment_text
0,113351127708,oh ok ths good! Glad to hear that,oh ok ths good Glad to hear that
1,113353127710,girl I am more than 145 and I would rock some gold leggings,girl I am more than and I would rock some gold leggings
2,113347127704,eww.. and ouch..,eww. and ouch.
3,113345127702,let me know when the clothes drop... I will put it on the site,let me know when the clothes drop. I will put it on the site
4,113346127703,lol I just had breakfast not too long ago sorry love,lol I just had breakfast not too long ago sorry love
5,113349127706,Wonder where you New Yorkers got that idea...,Wonder where you New Yorkers got that idea.
6,113352127709,dang do you need to go to uni to work in a zoo  i hope not cos i want to play with a panda!,dang do you need to go to uni to work in a zoo i hope not cos i want to play with a panda
7,113344127701,you too  x,you too x
8,113348127705,was offered coordis one night in a bar in wentworth. alas twas the beer talking. took me a few weeks to get over disappointment,was offered coordis one night in a bar in wentworth. alas twas the beer talking. took me a few weeks to get over disappointment
9,113350127707,"LOL shiny! I would have took it to! Men always Keep their cars clean, women we just need to get where we need to go",LOL shiny I would have took it to Men always Keep their cars clean women we just need to get where we need to go
