,id,text,sentiment_text
0,569253285015752704316698,!!!!! YAAYY!!! YAY PROM!!!! http://t.co/DXicoyioxF, YAAYY YAY PROM 
1,569253382898126850316697,"has me #stranded (weather NOT to blame). 1hr+ hold to speak to an agent that does not understand the concept of time zones, thanks!",has me weather NOT to blame. 1hr hold to speak to an agent that does not understand the concept of time zones thanks
2,569256307045179392316694,Why was I forced to check my rollaboard on UA 715? Plenty of room in the overhead next to my seat. http://t.co/5xvNnmLTiW,Why was I forced to check my rollaboard on UA Plenty of room in the overhead next to my seat. 
3,569256471046823937316692,"what, you forgot to tell them the flight was coming... Thanks for allowing me to miss my connection",what you forgot to tell them the flight was coming. Thanks for allowing me to miss my connection
4,569256434736746496316693,"Such as deodorant, shampoo, toothpaste. Seems like that would be limited to 70oz, correct?",Such as deodorant shampoo toothpaste. Seems like that would be limited to oz correct
5,569252801802592256316700,I JUST ASKED MY BOYFRIEND TO PROM OVER THE LOUDSPEAKER ON FLIGHT 494 HE SAID YES!!!! BEST DAY EVER!!! THANK you SO MUCH!!!!!!,I JUST ASKED MY BOYFRIEND TO PROM OVER THE LOUDSPEAKER ON FLIGHT HE SAID YES BEST DAY EVER THANK you SO MUCH
6,569253414971899905316696," Please get me an economy plus seat. Awful day of 2 Cancelled Flighted flights, after lots of planning.", Please get me an economy plus seat. Awful day of Cancelled Flighted flights after lots of planning.
7,569253190551498752316699,but your system gave my seat away.now I am 27L Economy! Not Econ + seat. How did you give my plus seat away?,but your system gave my seat away.now I am L Economy Not Econ seat. How did you give my plus seat away
8,569257033972604929316691," no, your service here pretty much ruined my day, but thanks for the weak attempt", no your service here pretty much ruined my day but thanks for the weak attempt
9,569256055781240832316695,please do not take my membership away :(,please do not take my membership away 
