,id,text,sentiment_text
0,179007193364,"the food is soooo good, but the service is horrible!  Gail and I will take you so you can have your first La Creperie experience!",the food is soo good but the service is horrible Gail and I will take you so you can have your first La Creperie experience
1,179011193368,yep! see you all tomorrow!,yep see you all tomorrow
2,179004193361,"this job is excellent, I just do not feel comfortable in it anymore",this job is excellent I just do not feel comfortable in it anymore
3,179008193365,if you figure it out please tell me. I am struggling with mtnl too,if you figure it out please tell me. I am struggling with mtnl too
4,179005193362,morning good sir  any chance of an msn convo to discuss some business cards?,morning good sir any chance of an msn convo to discuss some business cards
5,179010193367,"and it is, but I now also have a place in Alpine, TX right above Big Bend National Park so you can make it a BBG trifecta",and it is but I now also have a place in Alpine TX right above Big Bend National Park so you can make it a BBG trifecta
6,179012193369,"Great!!!  Tweets and free food, there is nothing better in the world",Great Tweets and free food there is nothing better in the world
7,179009193366,nice! i remember going to most of those places..sigh... think i like stop motion more than video itself,nice i rember going to most of those places.sigh. think i like stop motion more than video itself
8,179006193363,How have you enjoyed the series so far & are you all set up for it with snacks & stuff? I am about to do a food run in preparation for BSG,How have you enjoyed the series so far are you all set up for it with snacks stuff I am about to do a food run in preparation for BSG
9,179013193370,"Well, its a busy day, so will depend upon if I survive it  Am really looking fwd to meeting all Dubai Tweeple",Well its a busy day so will depend upon if I survive it Am really looking fwd to meeting all Dubai Tweeple
