,id,text,sentiment_text
0,207474221831, because they are all doing the applicant day...or have they just ditched you?, because they are all doing the applicant day.or have they just ditched you
1,207476221833,Morning Gem  how are you ? well I hope? x,Morning Gem how are you well I hope x
2,207478221835,you are not really going #Glasto on your own though are you? that is no fun!,you are not really going on your own though are you that is no fun
3,207480221837,that is a good way of putting it,that is a good way of putting it
4,207475221832,i am ill..  my tummy is KILLING me,i am ill. my tummy is KILLING me
5,207477221834,"Each to their own, i suppose  I do not like biscuits with soft bits in. That includes your choice, curtard creams, jammie dodgers..",Each to their own i suppose I do not like biscuits with soft bits in. That includes your choice curtard creams jammie dodgers.
6,207481221838,just got to try and get the money,just got to try and get the money
7,207482221839,"Yes, but still we could meet each other  I actually technically live just outside of Manchester!",Yes but still we could meet each other I actually technically live just outside of Manchester
8,207479221836," hello_jodie and I were chatting about England, and she told me to add you, cuz you are there and you love twilight too!!", hellojodie and I were chatting about England she told me to add you cuz you are there and you love twilight too
9,207483221840,Good Luck Gembo  I will be thinking of you tomorrow.,Good Luck Gembo I will be thinking of you tomorrow.
