,id,text,sentiment_text
0,833819992076513280,My goal is to build a life I do not need a vacation from.. ~ Rob Hill Sr #tmaj... https://t.co/R7RoyGnyoL,My goal is to build a life I do not need a vacation from. Rob Hill Sr . 
1,834554750855024641,Having a little fun after a nice long walk through the trails. #nature #buffalo #mykids... https://t.co/jRUfzgUjo7,Having a little fun after a nice long walk through the trails. . 
2,833737081470013441,"An adventure that begins, first and foremost, by not using Arial as a fashion-forward typeface.... https://t.co/1AfkR7mZil",An adventure that begins first and foremost by not using Arial as a fashionforward typeface. 
3,834510860563292162,My favourite shot of the day #niagarafalls #sonya7s2 #nature #water #photography #landscape... https://t.co/yQcf3irHBZ,My favourite shot of the day . 
4,834499110807937024,"Just you and me #couplegoals #nature #naturewalks @ Waverly Beach, Ontario https://t.co/pbD6FBIMMP",Just you and me Waverly Beach Ontario 
5,834107323127836673,"#rockskipping (sort of, lol) #midwinterbreak #adventuring @ Greenway Nature Trail https://t.co/RjADbOAobL",sort of lol Greenway Nature Trail 
6,833180851311636480,"Room to #breathe ~ #photo by jEb #hiking #meditation #nature @ Ball's Falls, Ontario https://t.co/kgoWE7Ug7X",Room to by jEb Ball Falls Ontario 
7,834049431540469760,#niagarafalls #canada #ontario #vacations #nature #niagara #wethenorth @ Niagara Falls https://t.co/eul22rcdVB, Niagara Falls 
8,834538453152866304,"""In the presence of nature, a wild delight runs through the man, in spite of real sorrows.""... https://t.co/PdT2gt5kfK",In the presence of nature a wild delight runs through the man in spite of real sorrows. 
9,834390032001626112,The white forest  #trees #tree top.tags #toptags #landscape #nature #branches #oldtree... https://t.co/N7KKptygFv,The white forest top.tags . 
