,id,text,sentiment_text
0,2471939076,"oh yeah, that is right. I forgot that about cats. we are just there to pet & feed them.",oh yeah that is right. I forgot that about cats. we are just there to pet feed them.
1,2471439071,No. But I am upset. I was really worried,No. But I am upset. I was really worried
2,2472339080,I HAVE a red velvet cupcake too!,I HAVE a red velvet cupcake too
3,2472039077,Congrats at being done already today,Congrats at being done already today
4,2471839075,losing 10 lbs by 7/15 will be easy? Tell me ur secret!! I have been trying for 5 lbs for months but not getting anywhere.,losing lbs by will be easy Tell me ur secret I have been trying for lbs for months but not getting anywhere.
5,2471739074,NOW I am having ice cream!!!,NOW I am having ice cream
6,2471539072,Says it again.  Unfollow/follow me.,Says it again. Unfollow me.
7,2472239079,thanks it is my new disguise to avoid being recognised  ps how do you cope in the library all day it is soooooo stuffy in there!,thanks it is my new disguise to avoid being recognised ps how do you cope in the library all day it is soo stuffy in there
8,2471639073, #RocketMoms  Wow - I do not know that I can party like that anymore! 1am is about as late as I can go these days, Wow I do not know that I can party like that anymore 1am is about as late as I can go these days
9,2472139078,That would be amazing.    Okay.  Now it is bed time.  Goodnight babe!,That would be amazing. Okay. Now it is bed time. Goodnight babe
