,id,text,sentiment_text
0,257666272023,"Thank you - yes, it is one of our favourite spots - when we can get in! Parking might be tricky today",Thank you yes it is one of our favourite spots when we can get in Parking might be tricky today
1,257669272026,"and oh btw, wish you 2 stay together forever.",and oh btw wish you stay together forever.
2,257664272021,I always find I am more irritable when I am tired. Maybe good night's sleep will help things look better in morning. Prayers,I always find I am more irritable when I am tired. Maybe good night sleep will help things look better in morning. Prayers
3,257668272025,"yeah whichever, or if you try another day it might be faster",yeah whichever or if you try another day it might be faster
4,257665272022,"no problem. been there done that, so hope my experience can help those now going thru the studying years",no problem. been there done that so hope my experience can help those now going thru the studying years
5,257671272028,"Oh, good!",Oh good
6,257667272024,omg its so good and so bad at the same time! haha its was great an hour ago but I seriously feel sick now! ew,omg its so good and so bad at the same time ha its was great an hour ago but I seriously feel sick now ew
7,257672272029,missing you already,missing you already
8,257673272030,yeah but do not it look a bit fake? I mean yeah it looks awesome but the wolves look sooo unreal! good luck in English  x,yeah but do not it look a bit fake I mean yeah it looks awesome but the wolves look soo unreal good luck in English x
9,257670272027,"Did you get Sims 3 yesterday with everyone else, or waiting a bit?",Did you get Sims yesterday with everyone else or waiting a bit
