,id,text,sentiment_text
0,244941259298,"the crap always seems to come at once, we all have days like that",the crap always seems to come at once we all have days like that
1,244936259293,Thank you very much! Great info!,Thank you very much Great info
2,244938259295,"srsly, i love you for being so awesome  k posting it nao.",srsly i love you for being so awesome k posting it nao.
3,244934259291,thankyou soo much babes! means alot!,thankyou soo much babes means alot
4,244940259297,time to change all four,time to change all four
5,244939259296,sweet thanks. i need more tweets to read,sweet thanks. i need more tweets to read
6,244937259294,"dude, i love Resident Evil! The games. The movie, not so much",dude i love Resident Evil The games. The movie not so much
7,244942259299,welcome to twitter Mrs!  how is married life!?,welcome to twitter Mrs how is married life
8,244943259300,Thank you. And you are invited to mine. Bring presents.,Thank you. And you are invited to mine. Bring presents.
9,244935259292,i love them too because they are yummy and gooey,i love them too because they are yummy and gooey
