,id,text,sentiment_text
0,6659680953,It is 11pm here and I am still appreciating the power of coffee!,It is pm here and I am still appreciating the power of coffee
1,6659480951,"I am upwardly mobile, but studies show women are more interested in actual than potential money!",I am upwardly mobile but studies show women are more interested in actual than potential money
2,6659580952,Note from history. Home made flame throwers are V effective against bugs and furniture both,Note from history. Home made flame throwers are V effective against bugs and furniture both
3,6659880955,awww I am sorry! My baddddd!  I got you tho.,aww I am sorry My badd I got you tho.
4,6659780954,haha good luck  dw they will do it one day,ha good luck dw they will do it one day
5,6660080957,I have not seen it yet.,I have not seen it yet.
6,6659980956,lolol you look really cute and young,lol you look really cute and young
7,6660280959,i hope you are not carrying servers in the age of cloud computing    add some offers here www.confoffers.com,i hope you are not carrying servers in the age of cloud computing add some offers here ww.confoffers.com
8,6660380960,yum  hopefully you made it RIGHT this time,yum hopefully you made it RIGHT this time
9,6660180958,"I am not sure :S When people ""wake up"" we shall see. I am up for it though",I am not sure S When people wake up we shall see. I am up for it though
