,id,text,sentiment_text
0,293807308164,"sis, still cannot find the chuvaness",sis still cannot find the chuvaness
1,293809308166,".. mmmm.. they are on the screen, earlier today..",. mm. they are on the screen earlier today.
2,293806308163,let us go home this Inidie day,let us go home this Inidie day
3,293813308170,Oh yeah...and I am really missing a really good friend.,Oh yeah.and I am really missing a really good friend.
4,293811308168,he is just reporting it.  do not shoot the messenger!,he is just reporting it. do not shoot the messenger
5,293808308165,"you are out partying hard, I see",you are out partying hard I see
6,293810308167,"...like, if you try to focus on something defo in the background, you cannot, but your eyes often try to.... i.e. headache!",.like if you try to focus on something defo in the background you cannot but your eyes often try to. i.e. headache
7,293804308161,amen and you have way more followers then me..mine is sad  lol,amen and you have way more followers then me.mine is sad lol
8,293812308169,I will not be able to stalk you at the library,I will not be able to stalk you at the library
9,293805308162,it is almost overrrr... when they introduce a new town the season is always so shortt,it is almost overr. when they introduce a new town the season is always so shortt
